fid,category,name,address_short,lon,lat,source,source_id,biz_code,data_date
1,convenience,합성 convenience 1,충남 공주시 신관동,127.1440142,36.4633974,synthetic,syn-0001,,2026-07-01
2,convenience,합성 convenience 2,충남 공주시 신관동,127.137205,36.4721064,synthetic,syn-0002,,2026-07-01
3,convenience,합성 convenience 3,충남 공주시 신관동,127.1529181,36.4658201,synthetic,syn-0003,,2026-07-01
4,convenience,합성 convenience 4,충남 공주시 신관동,127.1283945,36.4773491,synthetic,syn-0004,,2026-07-01
5,convenience,합성 convenience 5,충남 공주시 신관동,127.1542887,36.4842993,synthetic,syn-0005,,2026-07-01
6,convenience,합성 convenience 6,충남 공주시 신관동,127.1402444,36.4688455,synthetic,syn-0006,,2026-07-01
7,convenience,합성 convenience 7,충남 공주시 신관동,127.1281365,36.4807433,synthetic,syn-0007,,2026-07-01
8,convenience,합성 convenience 8,충남 공주시 신관동,127.1250371,36.4538092,synthetic,syn-0008,,2026-07-01
9,grocery,합성 grocery 1,충남 공주시 신관동,127.1227003,36.4725591,synthetic,syn-0009,,2026-07-01
10,grocery,합성 grocery 2,충남 공주시 신관동,127.13828,36.4575584,synthetic,syn-0010,,2026-07-01
11,grocery,합성 grocery 3,충남 공주시 신관동,127.1142176,36.4772009,synthetic,syn-0011,,2026-07-01
12,grocery,합성 grocery 4,충남 공주시 신관동,127.1406232,36.4531558,synthetic,syn-0012,,2026-07-01
13,grocery,합성 grocery 5,충남 공주시 신관동,127.154264,36.4887975,synthetic,syn-0013,,2026-07-01
14,grocery,합성 grocery 6,충남 공주시 신관동,127.1508881,36.4814661,synthetic,syn-0014,,2026-07-01
15,grocery,합성 grocery 7,충남 공주시 신관동,127.1587799,36.4736577,synthetic,syn-0015,,2026-07-01
16,grocery,합성 grocery 8,충남 공주시 신관동,127.1418205,36.4701233,synthetic,syn-0016,,2026-07-01
17,pharmacy,합성 pharmacy 1,충남 공주시 신관동,127.1416346,36.4841687,synthetic,syn-0017,,2026-07-01
18,pharmacy,합성 pharmacy 2,충남 공주시 신관동,127.1488049,36.4872226,synthetic,syn-0018,,2026-07-01
19,pharmacy,합성 pharmacy 3,충남 공주시 신관동,127.1311942,36.4817637,synthetic,syn-0019,,2026-07-01
20,pharmacy,합성 pharmacy 4,충남 공주시 신관동,127.132713,36.4620415,synthetic,syn-0020,,2026-07-01
21,pharmacy,합성 pharmacy 5,충남 공주시 신관동,127.1257681,36.4668936,synthetic,syn-0021,,2026-07-01
22,pharmacy,합성 pharmacy 6,충남 공주시 신관동,127.1329438,36.4574841,synthetic,syn-0022,,2026-07-01
23,pharmacy,합성 pharmacy 7,충남 공주시 신관동,127.1489032,36.4870678,synthetic,syn-0023,,2026-07-01
24,pharmacy,합성 pharmacy 8,충남 공주시 신관동,127.1357847,36.4636389,synthetic,syn-0024,,2026-07-01
25,medical,합성 medical 1,충남 공주시 신관동,127.1226117,36.4644501,synthetic,syn-0025,,2026-07-01
26,medical,합성 medical 2,충남 공주시 신관동,127.1441815,36.4904799,synthetic,syn-0026,,2026-07-01
27,medical,합성 medical 3,충남 공주시 신관동,127.1458771,36.4562551,synthetic,syn-0027,,2026-07-01
28,medical,합성 medical 4,충남 공주시 신관동,127.1482414,36.4670304,synthetic,syn-0028,,2026-07-01
29,medical,합성 medical 5,충남 공주시 신관동,127.1405201,36.4827472,synthetic,syn-0029,,2026-07-01
30,medical,합성 medical 6,충남 공주시 신관동,127.1286527,36.4687603,synthetic,syn-0030,,2026-07-01
31,medical,합성 medical 7,충남 공주시 신관동,127.1307752,36.4869319,synthetic,syn-0031,,2026-07-01
32,medical,합성 medical 8,충남 공주시 신관동,127.1407997,36.4722051,synthetic,syn-0032,,2026-07-01
33,park,합성 park 1,충남 공주시 신관동,127.144184,36.4583293,synthetic,syn-0033,,2026-07-01
34,park,합성 park 2,충남 공주시 신관동,127.1242753,36.4533937,synthetic,syn-0034,,2026-07-01
35,park,합성 park 3,충남 공주시 신관동,127.128001,36.4673643,synthetic,syn-0035,,2026-07-01
36,park,합성 park 4,충남 공주시 신관동,127.1356253,36.4702313,synthetic,syn-0036,,2026-07-01
37,park,합성 park 5,충남 공주시 신관동,127.1532756,36.456651,synthetic,syn-0037,,2026-07-01
38,park,합성 park 6,충남 공주시 신관동,127.1350242,36.4502201,synthetic,syn-0038,,2026-07-01
39,park,합성 park 7,충남 공주시 신관동,127.1389035,36.482949,synthetic,syn-0039,,2026-07-01
40,park,합성 park 8,충남 공주시 신관동,127.1154247,36.4707654,synthetic,syn-0040,,2026-07-01
41,food_cafe,합성 food_cafe 1,충남 공주시 신관동,127.1434389,36.4646472,synthetic,syn-0041,,2026-07-01
42,food_cafe,합성 food_cafe 2,충남 공주시 신관동,127.1397768,36.471923,synthetic,syn-0042,,2026-07-01
43,food_cafe,합성 food_cafe 3,충남 공주시 신관동,127.1406923,36.4645111,synthetic,syn-0043,,2026-07-01
44,food_cafe,합성 food_cafe 4,충남 공주시 신관동,127.1425904,36.4720171,synthetic,syn-0044,,2026-07-01
45,food_cafe,합성 food_cafe 5,충남 공주시 신관동,127.1380424,36.4671007,synthetic,syn-0045,,2026-07-01
46,food_cafe,합성 food_cafe 6,충남 공주시 신관동,127.1413433,36.4717615,synthetic,syn-0046,,2026-07-01
47,food_cafe,합성 food_cafe 7,충남 공주시 신관동,127.1460389,36.4764826,synthetic,syn-0047,,2026-07-01
48,food_cafe,합성 food_cafe 8,충남 공주시 신관동,127.1440107,36.4714322,synthetic,syn-0048,,2026-07-01
